"","X","baker","age","sex","occupation","hometown","season","name_or_nickname","firstname","result","hometown_uk","coords.lon","coords.lat","lon","lat"
"1",  1,"Ben Frazer",31,"M","Graphic Designer","Northampton", 2,"Ben Frazer","Ben",NA,"Northampton, UK",-0.8944421,52.2370650,-0.8944421,52.23706
"2",  2,"Holly Bell",31,"F","Advertising executive","Leicester", 2,"Holly Bell","Holly",NA,"Leicester, UK",-1.1397592,52.6368778,-1.1397592,52.63688
"3",  3,"Ian Vallance",40,"M","Fundraiser for English Heritage","Dunstable, Bedfordshire", 2,"Ian Vallance","Ian",NA,"Dunstable, Bedfordshire, UK",-0.5203900,51.8856440,-0.5203900,51.88564
"4",  4,"Janet Basu",63,"F","Teacher of Modern Languages","Formby, Liverpool", 2,"Janet Basu","Janet",NA,"Formby, Liverpool, UK",-3.0687430,53.5582710,-3.0687430,53.55827
"5",  5,"Jason White",19,"M","Civil Engineering Student","Croydon", 2,"Jason White","Jason",NA,"Croydon, UK",-0.0956895,51.3769529,-0.0956895,51.37695
"6",  6,"Joanne ""Jo"" Wheatley",41,"F","Housewife","Ongar, Essex", 2,"Jo","Jo","WINNER","Ongar, Essex, UK", 0.2427558,51.7095315, 0.2427558,51.70953
"7",  7,"Keith Batsford",31,"M","House husband","Arlesey, Bedfordshire", 2,"Keith Batsford","Keith",NA,"Arlesey, Bedfordshire, UK",-0.2632600,52.0153470,-0.2632600,52.01535
"8",  8,"Mary-Anne Boermans",45,"F","Housewife","Kidderminster, Worcestershire", 2,"Mary-Anne Boermans","Mary-Anne",NA,"Kidderminster, Worcestershire, UK",-2.2496839,52.3885960,-2.2496839,52.38860
"9",  9,"Robert Billington",25,"M","Photographer","London", 2,"Robert Billington","Robert",NA,"London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"10", 10,"Simon Blackwell",31,"M","Rugby Coach","Norfolk", 2,"Simon Blackwell","Simon",NA,"Norfolk, UK", 0.8864021,52.6139686, 0.8864021,52.61397
"11", 11,"Urvashi Roe",40,"F","Head of Marketing","Enfield, London", 2,"Urvashi Roe","Urvashi",NA,"Enfield, London, UK",-0.1180651,51.6622909,-0.1180651,51.66229
"12", 12,"Yasmin Limbert",43,"F","Childminder","West Kirby, The Wirral", 2,"Yasmin Limbert","Yasmin",NA,"West Kirby, The Wirral, UK",-3.1842948,53.3723866,-3.1842948,53.37239
"13", 13,"Brendan Lynch",63,"M","Recruitment consultant","Sutton Coldfield", 3,"Brendan Lynch","Brendan",NA,"Sutton Coldfield, UK",-1.8240420,52.5703850,-1.8240420,52.57038
"14", 14,"Cathryn Dresser",27,"F","Shop assistant","Pease Pottage, West Sussex", 3,"Cathryn Dresser","Cathryn",NA,"Pease Pottage, West Sussex, UK",-0.2028485,51.0832565,-0.2028485,51.08326
"15", 15,"Danny Bryden",45,"F","Intensive care consultant","Sheffield", 3,"Danny Bryden","Danny",NA,"Sheffield, UK",-1.4700850,53.3811290,-1.4700850,53.38113
"16", 16,"James Morton",21,"M","Medical student","Hillswick, Shetland Islands", 3,"James Morton","James",NA,"Hillswick, Shetland Islands, UK",-1.4890760,60.4763990,-1.4890760,60.47640
"17", 17,"John Whaite",22,"M","Law student","Wigan", 3,"John Whaite","John","WINNER","Wigan, UK",-2.6325074,53.5450645,-2.6325074,53.54506
"18", 18,"Manisha Parmar",27,"F","Nursery nurse","Leicester", 3,"Manisha Parmar","Manisha",NA,"Leicester, UK",-1.1397592,52.6368778,-1.1397592,52.63688
"19", 19,"Natasha Stringer",36,"F","Midwife","Tamworth, Staffordshire", 3,"Natasha Stringer","Natasha",NA,"Tamworth, Staffordshire, UK",-1.6910320,52.6335840,-1.6910320,52.63358
"20", 20,"Peter Maloney",43,"M","Sales manager","Windsor, Berkshire", 3,"Peter Maloney","Peter",NA,"Windsor, Berkshire, UK",-0.6157137,51.4803421,-0.6157137,51.48034
